,Integer,Float,String,Date
0,2343,2780.96,kQAqgylwSk,2020-02-12 06:51:49
1,4961,8114.98,DUeBxZANHM,2020-09-09 08:38:37
2,5277,5686.94,UnnAVJzyoo,2023-01-07 09:47:45
3,8293,3542.88,mhFPbzLGKa,2020-03-06 04:49:30
4,3479,4650.5,THSZokmqVU,2021-01-24 11:12:15
5,2023,2665.91,WdGRVsiQAu,2022-02-01 23:54:33
6,5150,2896.56,olqZZwgQkd,2023-08-13 02:04:57
7,3724,5158.71,rslRINgdzL,2023-03-27 11:54:16
8,4375,7650.34,XAKlFsGCRO,2020-01-10 17:49:11
9,8558,3888.32,OyyWwpDYwe,2023-05-30 17:15:18
10,6687,5904.49,lSxaKyvNXa,2022-01-22 03:43:09
11,5906,8847.03,RwrojScMwo,2022-07-10 10:11:02
12,365,4218.04,YypFqlFBpf,2022-02-25 23:54:13
13,7819,5808.0,zffugpZaRR,2021-01-02 07:27:03
14,3346,5891.39,nlocnpWSMp,2021-02-28 15:01:44
15,1637,7891.45,UHWEGFXlbp,2021-10-05 23:04:49
16,2820,7881.65,wKNjKtRxZQ,2021-01-20 03:11:37
17,6816,1878.51,SwIafayqNY,2020-07-02 15:14:20
18,2836,9544.83,PdhPvIdBIn,2023-08-24 03:12:50
19,2537,5756.68,HhyjCypkev,2022-08-17 23:44:42
20,8596,6857.7,yRQcJRSDAm,2021-06-19 11:29:06
21,7023,6002.19,CWOSEFYrFc,2022-11-23 15:28:17
22,7492,3442.48,PLThsgKdfH,2023-10-02 11:31:35
23,1219,6064.35,LZvdoXAxow,2022-09-15 21:16:55
24,3233,3123.16,weHTXeZnhv,2023-10-11 07:42:28
25,3900,4439.44,HgQAdvGkHf,2023-09-18 18:28:28
26,4152,4575.35,dxGEIFnwuC,2022-01-18 09:51:47
27,5851,1283.89,FpxkNZxmOC,2021-09-18 22:04:46
28,3536,5125.73,TRZLcCqYtH,2023-09-06 22:36:20
29,4361,9313.34,pDtsihntPb,2020-04-11 19:53:00
30,7282,6976.57,hFFnzyUaeM,2023-10-25 07:21:36
31,2714,4238.88,KhdsxTqYTb,2021-12-22 00:00:01
32,1063,6949.4,qeByPoCeSC,2020-12-27 08:04:23
33,2463,8229.63,ANMxlphKBF,2022-09-20 08:51:11
34,2455,3728.33,beSbatqawc,2020-07-28 06:36:13
35,3938,6835.22,aQaJtHkktJ,2022-07-12 05:09:36
36,2588,1794.13,OTmVqEuHeu,2023-03-25 18:03:25
37,1096,1810.95,vrrSiVMNNQ,2022-08-19 13:33:09
38,2963,7257.91,KFRabLgavx,2020-06-05 04:03:25
39,3838,6958.07,TPxBPsUjxQ,2021-04-12 09:45:09
40,6473,1411.04,OYiHzjzuyE,2022-03-07 11:23:47
41,7126,1645.34,CpnjSEhYti,2023-08-06 18:26:21
42,3337,2020.83,wuvldqvORo,2023-11-14 07:05:37
43,7164,8216.17,YEZcPCOEvO,2022-05-09 10:05:21
44,7341,5736.68,CTcbNWizaz,2022-12-08 20:01:09
45,5864,3702.89,mXzoJvsnSE,2023-02-07 12:37:56
46,4179,3138.26,tmAicdHhtS,2022-06-10 12:38:15
47,6720,2917.87,RJTWrpFovt,2020-07-25 03:29:50
48,6051,3560.15,TRZegUCctN,2021-08-09 06:53:01
49,5111,3492.09,wvNdwZgIyT,2020-06-13 22:38:36
50,9494,6973.22,SdlVcVGYFa,2023-03-16 16:49:01
51,9552,8395.55,TDzNhtFefX,2022-03-23 02:11:29
52,6832,3620.4,VoTsPqOKsG,2022-05-27 02:02:26
53,8710,6248.39,mBCkiQnGeU,2022-09-01 06:02:18
54,5576,5754.33,ajVEORkjTE,2021-11-24 12:52:51
55,4871,4239.59,nDxRyTiPkc,2021-04-30 04:44:17
56,4564,5599.75,BNaIBKBJWg,2021-12-09 22:24:50
57,2428,5912.33,mVJNNxlpbA,2020-05-08 03:40:25
58,2861,4413.58,rQxxxbwtib,2020-10-06 12:12:12
59,5064,4787.8,EPSwScAZXJ,2022-02-11 02:17:40
60,1643,5677.45,BYtWfLRvSG,2022-04-22 16:08:17
61,1860,5192.38,PMibNhdoFo,2023-07-20 01:55:01
62,5517,5853.45,WeLwFIgWEX,2021-05-08 07:17:42
63,3200,8245.48,JLllJSKrzH,2023-09-22 16:42:03
64,2537,4096.95,AoPPtHTenA,2020-07-02 13:36:32
65,3191,4937.08,stKkgwFlqD,2021-02-03 21:19:36
66,5330,4583.17,tOxYMLhaxP,2023-03-03 03:25:46
67,6761,7383.07,JlufvmeVay,2023-06-21 17:52:35
68,8399,7347.54,liuhBmkaLl,2020-04-30 20:28:02
69,5446,7531.15,QuNtQRUrjB,2023-08-04 03:05:12
70,1379,2470.42,mdtmqdnPQJ,2022-03-20 11:11:33
71,5165,7646.44,DEzpTbEiJQ,2022-07-27 15:42:51
72,2413,4675.59,IUwmNWgYSX,2022-07-30 07:03:55
73,4444,3324.06,QlAfEWyMUQ,2020-03-02 12:13:46
74,9239,3352.91,tAHzTXouVs,2021-06-01 07:49:17
75,828,7933.91,lCYcrBdyYS,2023-09-06 08:27:53
76,8575,3492.85,UXeVNkgCXM,2023-09-27 11:46:46
77,5022,3295.8,PJpIAbjoeD,2023-09-19 21:02:01
78,5102,6811.61,AHMhnALMzd,2020-05-01 07:33:23
79,4498,5043.8,eaXTrIdbda,2023-04-04 09:23:14
80,3831,7839.48,aHiXoYCPGk,2022-08-12 16:29:11
81,2056,8482.39,SwfkmOqhgB,2023-12-27 06:21:29
82,9725,4581.59,MQJBOnnYnm,2022-01-26 20:42:31
83,3664,6186.93,OloKgjHJFH,2021-05-09 15:30:51
84,8959,3065.35,grUFTZZIET,2022-04-10 07:44:47
85,4108,2435.43,VhLasSnKHP,2021-06-06 23:27:11
86,4566,882.08,ghgHkVCTjK,2023-01-14 06:07:10
87,1364,2257.01,nTnUFXmSyi,2020-01-09 21:40:16
88,5162,4199.27,CgUYrmsGZs,2021-07-30 09:22:05
89,8837,1161.43,MokkIlOOZs,2023-07-19 03:02:16
90,4477,6680.28,OSfiFzJLWL,2020-01-06 17:41:37
91,6039,6762.9,DmgALYvOdy,2020-04-11 14:29:24
92,7444,7834.29,cCmaJOqNRT,2023-10-19 12:35:18
93,3953,8490.78,pdmpupHuav,2022-12-21 23:30:21
94,6555,995.42,NPrfcqWVji,2023-10-19 11:12:33
95,2093,4666.96,llqemQqqUm,2022-05-24 06:30:46
96,1914,6191.49,INdNTIfgaZ,2021-03-04 01:26:56
97,6608,7293.02,SVHUnuXjnJ,2022-08-04 16:40:32
98,6474,3923.07,cMwYqHRtgX,2023-07-05 05:15:28
99,731,920.1,PnHLFrGfix,2022-02-09 02:32:16
100,3416,8974.68,RZuNVigkGG,2020-07-26 00:12:39
101,6320,4533.48,EXypJFDYmN,2020-04-20 00:27:33
102,5908,5998.94,MvINXdsTCW,2020-09-19 05:54:01
103,8528,2669.87,jplcuRYgmK,2022-10-15 09:18:05
104,6016,7612.06,DFQHwrFfja,2022-04-22 14:13:57
105,8335,2718.67,qeRMKGxLZf,2023-12-27 22:37:51
106,2535,3487.35,wiwJmzAtfq,2022-06-24 06:55:22
107,1101,8678.55,VIFijicpMS,2020-10-09 21:13:20
108,4530,2091.88,KAvBIdQihp,2021-11-22 03:49:45
109,2918,6668.47,bXxGyjpeJW,2023-04-11 09:10:52
110,4125,4644.44,OhkPdkFmfI,2023-08-20 20:20:02
111,4201,432.58,qWlTAdHaOQ,2023-09-18 21:34:36
112,6855,7409.61,TGvjvgrxeo,2020-06-23 13:37:06
113,2202,8391.1,jijCsZVJJz,2023-09-07 00:28:18
114,7442,2485.41,jSEMSSIOJn,2020-08-03 12:56:46
115,1936,3504.92,tfIaWJXxve,2020-11-14 07:43:17
116,2558,7837.68,UIeSZrsXye,2021-02-27 08:44:40
117,7249,6271.44,cNmxAQwNic,2022-07-26 21:34:09
118,6594,6312.99,XjdurpUUOo,2020-05-20 14:41:17
119,3526,3228.15,UFwOogftDq,2023-10-01 04:33:20
120,5909,3751.52,vOWVIWyWMi,2021-10-13 01:27:24
121,5619,1518.68,XUJQoZVTTl,2023-10-09 11:55:45
122,5035,3638.2,wGsJDiatlR,2023-06-13 02:46:53
123,3113,2681.5,VFxSPeiAzG,2022-07-25 23:15:36
124,8176,1369.63,CTxaeDFLxD,2022-07-15 02:54:43
125,1429,5300.46,aWLRCQSsIk,2022-09-11 10:39:46
126,6513,7270.91,HasdzrmZlf,2023-10-13 15:04:04
127,2571,2450.02,wYpPTRcPOq,2020-03-06 23:30:27
128,2636,4385.94,UMLaIXvQxX,2022-01-15 10:31:03
129,2084,2806.1,lSLcksdUoP,2023-07-20 06:07:56
130,1155,1604.53,KlXcFHWvAA,2023-04-28 18:32:09
131,915,4979.77,ecYczzQHNn,2022-02-20 18:04:24
132,8161,4274.1,BhgdAMLbXj,2020-09-23 05:24:22
133,977,5675.05,YsUFKGAulg,2022-03-30 02:42:57
134,3735,8175.69,RUSWsmrpsb,2020-08-07 20:26:57
135,4321,7750.17,PqfKCkUkbG,2022-11-26 05:34:56
136,7722,7324.19,nYkfaiBDBB,2020-02-16 01:19:26
137,4062,6813.83,oBYPaWZxQN,2023-07-23 08:43:30
138,3563,602.62,HZXUOdPYOi,2020-10-28 12:16:35
139,8296,2135.02,YSxtBaFVKY,2021-12-09 07:04:43
140,6251,5233.0,IsIfeeGsva,2022-09-24 00:49:21
141,3990,5847.5,GBKCObNkCD,2022-06-03 17:04:45
142,7533,3015.75,NvDceAiJeC,2020-11-04 10:36:49
143,5983,851.39,CvbfFMCwpk,2022-08-29 04:24:31
144,3721,2405.79,EfPnhcAvBP,2022-10-10 02:45:16
145,708,1397.01,VhBHzvsEWB,2023-10-01 21:38:21
146,2367,5238.33,bVWuroOKXK,2023-08-06 00:41:14
147,8358,7701.14,cdMDCraGLM,2020-05-18 22:54:30
148,408,3893.11,NJeCJoeTMS,2023-05-24 06:32:10
149,5341,2624.96,JKkHQHIniu,2020-12-04 07:54:41
150,2673,6805.59,IVcEafnXZw,2022-02-13 05:47:49
151,4650,6498.41,GBThekOoNz,2023-02-06 07:35:16
152,498,4082.26,jigjFsXsPP,2023-12-30 20:41:16
153,7173,3925.83,hBucxbHpob,2021-11-23 21:20:51
154,1939,2221.25,sEhtxuUTvu,2023-08-11 13:48:59
155,5410,1203.25,auQIKFibuL,2020-08-31 08:19:15
156,4955,1999.5,MZxccBjqNG,2022-09-25 00:46:47
157,7700,8996.47,mycIeRxgJU,2020-03-03 11:32:40
158,1893,6628.5,yBSGFdEiuF,2023-06-07 11:14:55
159,5795,9023.83,uPpUvLDgKN,2022-09-13 11:13:24
160,1994,7224.88,oDnOcEbnyS,2023-04-20 16:26:00
161,2077,1141.49,VscORdvRLt,2023-07-22 10:09:01
162,3043,3905.78,PtzteuoYYN,2021-08-14 00:47:16
163,2820,5570.58,EiokIEdiKs,2023-08-24 07:57:58
164,4558,3984.44,FbaUfcyedt,2021-10-12 05:54:14
165,4288,6559.47,ywJmKgwyuY,2022-09-05 08:37:50
166,2448,4637.9,ebnTlPzGAi,2023-10-23 17:41:51
167,4542,8992.72,xbNSlngBFf,2020-04-05 10:56:23
168,4578,5501.25,nGdlzyUIaG,2020-03-15 01:02:06
169,2459,7947.52,KZHxYbtREy,2022-04-04 19:05:36
170,2238,2346.88,ujVdVvRkwa,2023-02-04 02:30:43
171,1331,4836.41,eUZYGwQnnz,2020-10-02 01:42:31
172,3276,6234.66,fkwppeIRWO,2020-01-26 07:27:56
173,4838,4981.42,HEUGRfsgVl,2022-02-07 22:21:33
174,6716,2289.35,HwdDzcsYUK,2022-03-04 00:01:15
175,1754,6655.07,GAFKAejzde,2020-09-08 00:49:19
176,2063,7150.76,jHfTBDNntU,2020-10-26 02:51:36
177,6529,6488.51,RtbfmjCYgm,2022-09-18 05:23:52
178,6653,4138.46,ZgSvnlyJaK,2022-05-03 12:10:50
179,9038,3864.96,rNNSmxgPlu,2023-03-19 18:21:59
180,3348,7920.7,aNuKZECdcs,2023-11-16 00:12:55
181,5712,3145.29,olJKsDWsUf,2020-07-17 00:04:11
182,3787,1740.48,MMFDgEZgFY,2020-12-01 01:53:54
183,2048,2908.12,QxiWWnhClj,2020-05-18 02:39:07
184,5186,4687.94,XpcNtQtrOG,2022-08-23 07:10:57
185,6089,2754.53,kJHStexsvj,2023-01-26 02:12:10
186,7016,6893.84,jExnAiaxpF,2022-10-20 17:37:14
187,1743,3692.36,xpVVikXxHz,2023-08-12 06:17:14
188,7062,5434.35,vQrCEZNIfX,2020-09-09 15:16:11
189,5190,2428.07,dvVwcaiOvC,2022-09-02 21:14:37
